#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
          73    -6.58106    -6.61541  0.00291208
          74    -6.58042    -6.61494  0.00291087
          75    -6.58043    -6.61448   0.0029082
          76    -6.57948    -6.61402  0.00290616
          77    -6.57951    -6.61357  0.00290277
          78    -6.57889    -6.61312   0.0028994
          79    -6.57861    -6.61269  0.00289542
          80    -6.57769    -6.61225  0.00289209
          81    -6.57774    -6.61182  0.00288759
          82    -6.57651    -6.61139  0.00288431
          83    -6.57593    -6.61097  0.00288103
          84    -6.57568    -6.61055  0.00287719
          85    -6.57544    -6.61013  0.00287283
          86    -6.57456    -6.60972  0.00286905
          87    -6.57433    -6.60931  0.00286476
          88    -6.57411    -6.60891     0.00286
          89    -6.57422    -6.60852  0.00285431
          90    -6.57433    -6.60814  0.00284776
          91    -6.57446    -6.60777  0.00284043
          92    -6.57458    -6.60741  0.00283237
          93    -6.57472    -6.60706  0.00282365
          94    -6.57421    -6.60671  0.00281516
          95    -6.57436    -6.60637  0.00280605
          96    -6.57451    -6.60604  0.00279638
          97    -6.57434    -6.60571  0.00278658
          98    -6.57418    -6.60539  0.00277666
          99    -6.57402    -6.60507  0.00276663
         100     -6.5729    -6.60475  0.00275761
         101    -6.57276    -6.60443  0.00274844
         102    -6.57294    -6.60413  0.00273879
         103    -6.57313    -6.60383  0.00272868
         104    -6.57299    -6.60353   0.0027185
         105    -6.57319    -6.60324  0.00270793
         106    -6.57306    -6.60295  0.00269731
         107    -6.57294    -6.60267  0.00268664
         108    -6.57282     -6.6024  0.00267595
         109    -6.57271    -6.60213  0.00266522
         110     -6.5726    -6.60186  0.00265448
         111    -6.57281     -6.6016  0.00264344
         112    -6.57302    -6.60134  0.00263211
         113    -6.57324    -6.60109  0.00262054
         114    -6.57379    -6.60085  0.00260847
         115    -6.57401    -6.60062  0.00259622
         116    -6.57423    -6.60039  0.00258378
         117    -6.57478    -6.60017  0.00257096
         118      -6.575    -6.59996  0.00255801
         119     -6.5749    -6.59975  0.00254516
         120    -6.57512    -6.59954  0.00253221
         121    -6.57535    -6.59934  0.00251917
         122    -6.57557    -6.59915  0.00250604
         123     -6.5758    -6.59896  0.00249285
         124    -6.57602    -6.59877   0.0024796
         125    -6.57592    -6.59859   0.0024665
         126    -6.57581    -6.59841  0.00245354
         127    -6.57571    -6.59823  0.00244072
         128     -6.5756    -6.59805  0.00242805
         129    -6.57549    -6.59788  0.00241552
         130    -6.57602    -6.59771  0.00240279
         131    -6.57623    -6.59755  0.00239003
         132    -6.57644    -6.59739  0.00237727
         133    -6.57664    -6.59723   0.0023645
         134    -6.57685    -6.59708  0.00235175
         135    -6.57704    -6.59693    0.002339
         136    -6.57789    -6.59679  0.00232599
         137    -6.57775    -6.59665  0.00231316
         138    -6.57794    -6.59652  0.00230037
         139    -6.57812    -6.59638  0.00228763
         140     -6.5783    -6.59625  0.00227493
         141    -6.57848    -6.59613  0.00226229
         142    -6.57897    -6.59601  0.00224958
         143    -6.57881    -6.59589  0.00223706
         144    -6.57898    -6.59577   0.0022246
         145    -6.57913    -6.59566  0.00221222
         146    -6.57961    -6.59555  0.00219979
         147    -6.57976    -6.59544  0.00218745
         148    -6.58023    -6.59534  0.00217508
         149    -6.57972    -6.59523  0.00216301
         150    -6.57953    -6.59513  0.00215112
         151    -6.57966    -6.59502  0.00213931
         152    -6.57946    -6.59492  0.00212768
         153    -6.57958    -6.59482  0.00211614
         154    -6.57937    -6.59472  0.00210477
         155    -6.57916    -6.59462  0.00209359
         156    -6.57926    -6.59452  0.00208248
         157    -6.57904    -6.59442  0.00207155
         158    -6.57881    -6.59432  0.00206079
         159     -6.5789    -6.59423  0.00205011
         160    -6.57899    -6.59413  0.00203951
         161    -6.57907    -6.59404  0.00202899
         162    -6.57882    -6.59394  0.00201864
         163    -6.57857    -6.59385  0.00200846
         164    -6.57928    -6.59376  0.00199818
         165    -6.57902    -6.59367  0.00198806
         166    -6.57843    -6.59358  0.00197821
         167    -6.57816    -6.59349  0.00196852
         168     -6.5782     -6.5934   0.0019589
         169     -6.5776     -6.5933  0.00194954
         170    -6.57732    -6.59321  0.00194034
         171    -6.57735    -6.59312  0.00193121
         172    -6.57706    -6.59302  0.00192223
         173    -6.57676    -6.59293  0.00191342
         174    -6.57678    -6.59284  0.00190467
         175     -6.5768    -6.59274  0.00189599
         176    -6.57682    -6.59265  0.00188738
         177    -6.57683    -6.59256  0.00187883
         178    -6.57683    -6.59248  0.00187035
         179    -6.57651    -6.59239  0.00186203
         180    -6.57684     -6.5923  0.00185369
         181    -6.57684    -6.59222  0.00184541
         182    -6.57683    -6.59213  0.00183721
         183    -6.57747    -6.59205  0.00182892
         184    -6.57746    -6.59197   0.0018207
         185    -6.57744    -6.59189  0.00181255
         186    -6.57742    -6.59182  0.00180447
         187     -6.5774    -6.59174  0.00179647
         188     -6.5777    -6.59166  0.00178846
         189    -6.57768    -6.59159  0.00178053
         190    -6.57765    -6.59152  0.00177267
         191    -6.57794    -6.59145  0.00176481
         192    -6.57759    -6.59137   0.0017571
         193    -6.57723     -6.5913  0.00174952
         194    -6.57687    -6.59123  0.00174208
         195    -6.57683    -6.59115  0.00173471
         196    -6.57679    -6.59108  0.00172741
         197    -6.57707    -6.59101   0.0017201
         198    -6.57703    -6.59094  0.00171286
         199    -6.57764    -6.59087  0.00170556
         200    -6.57759     -6.5908  0.00169832
         201    -6.57787    -6.59074  0.00169109
         202    -6.57782    -6.59067  0.00168393
         203    -6.57842    -6.59061  0.00167671
         204    -6.57837    -6.59055  0.00166957
         205    -6.57832    -6.59049  0.00166249
         206    -6.57827    -6.59044  0.00165548
         207    -6.57822    -6.59038  0.00164853
         208    -6.57849    -6.59032   0.0016416
         209    -6.57843    -6.59026  0.00163473
         210    -6.57838    -6.59021  0.00162792
         211      -6.578    -6.59015  0.00162124
         212    -6.57828    -6.59009  0.00161456
         213    -6.57822    -6.59004  0.00160794
         214    -6.57817    -6.58998  0.00160138
         215    -6.57811    -6.58993  0.00159488
         216    -6.57838    -6.58987  0.00158839
         217    -6.57898    -6.58982  0.00158187
         218     -6.5786    -6.58977  0.00157545
         219    -6.57855    -6.58972  0.00156909
         220    -6.57817    -6.58967  0.00156283
         221     -6.5778    -6.58961  0.00155668
         222    -6.57807    -6.58956  0.00155054
         223    -6.57834    -6.58951   0.0015444
         224    -6.57797    -6.58946  0.00153836
         225    -6.57889    -6.58941  0.00153224
         226    -6.57917    -6.58937  0.00152613
         227     -6.5788    -6.58932  0.00152012
         228    -6.57875    -6.58927  0.00151416
         229     -6.5787    -6.58923  0.00150825
         230    -6.57833    -6.58918  0.00150244
         231    -6.57894    -6.58914  0.00149659
         232    -6.57954    -6.58909  0.00149071
         233     -6.5795    -6.58905  0.00148488
         234    -6.57946    -6.58901   0.0014791
         235    -6.57942    -6.58897  0.00147337
         236    -6.57938    -6.58893  0.00146769
         237    -6.57934    -6.58889  0.00146205
         238    -6.57963    -6.58885  0.00145643
         239    -6.57959    -6.58881  0.00145085
         240    -6.57956    -6.58877  0.00144532
         241     -6.5792    -6.58873  0.00143987
         242    -6.57884    -6.58869   0.0014345
         243    -6.57849    -6.58865  0.00142921
         244    -6.57846    -6.58861  0.00142396
         245    -6.57843    -6.58857  0.00141876
         246     -6.5784    -6.58853  0.00141359
         247    -6.57837    -6.58849  0.00140847
         248    -6.57835    -6.58845  0.00140338
         249    -6.57833     -6.5884  0.00139833
         250     -6.5783    -6.58836  0.00139332
         251    -6.57828    -6.58832  0.00138835
         252    -6.57761    -6.58828  0.00138349
         253    -6.57695    -6.58824  0.00137875
         254    -6.57693    -6.58819  0.00137404
         255    -6.57692    -6.58815  0.00136936
         256     -6.5769     -6.5881  0.00136472
         257    -6.57689    -6.58806   0.0013601
         258    -6.57655    -6.58802  0.00135556
         259    -6.57751    -6.58798  0.00135094
         260    -6.57783    -6.58794   0.0013463
         261    -6.57782     -6.5879   0.0013417
         262    -6.57813    -6.58786   0.0013371
         263    -6.57813    -6.58782  0.00133253
         264    -6.57844    -6.58779  0.00132795
         265    -6.57844    -6.58775  0.00132341
         266    -6.57844    -6.58772   0.0013189
         267    -6.57844    -6.58768  0.00131442
         268    -6.57844    -6.58765  0.00130997
         269    -6.57908    -6.58762  0.00130548
         270    -6.57973    -6.58759  0.00130097
         271    -6.58038    -6.58756  0.00129644
         272    -6.58071    -6.58754  0.00129192
         273    -6.58104    -6.58751  0.00128741
         274    -6.58202    -6.58749  0.00128287
         275    -6.58235    -6.58747  0.00127834
         276    -6.58268    -6.58746  0.00127382
         277    -6.58269    -6.58744  0.00126934
         278    -6.58302    -6.58742  0.00126488
         279    -6.58303    -6.58741  0.00126044
         280    -6.58369    -6.58739  0.00125601
         281    -6.58338    -6.58738  0.00125162
         282    -6.58339    -6.58736  0.00124726
         283    -6.58341    -6.58735  0.00124293
         284    -6.58342    -6.58734  0.00123863
         285    -6.58344    -6.58732  0.00123436
         286     -6.5841    -6.58731   0.0012301
         287    -6.58476     -6.5873  0.00122584
         288    -6.58478    -6.58729  0.00122162
         289     -6.5848    -6.58729  0.00121742
         290    -6.58481    -6.58728  0.00121325
         291    -6.58451    -6.58727  0.00120912
         292    -6.58485    -6.58726  0.00120501
         293    -6.58487    -6.58725  0.00120092
         294    -6.58489    -6.58724  0.00119687
         295    -6.58491    -6.58724  0.00119284
         296    -6.58493    -6.58723  0.00118883
         297     -6.5856    -6.58722  0.00118484
         298    -6.58562    -6.58722  0.00118088
         299    -6.58532    -6.58721  0.00117694
         300    -6.58566    -6.58721  0.00117303
         301    -6.58601     -6.5872  0.00116914
         302    -6.58603     -6.5872  0.00116528
         303     -6.5854    -6.58719  0.00116145
         304    -6.58543    -6.58719  0.00115764
         305     -6.5861    -6.58718  0.00115385
         306    -6.58612    -6.58718  0.00115009
         307    -6.58614    -6.58718  0.00114634
         308    -6.58648    -6.58717  0.00114262
         309    -6.58618    -6.58717  0.00113893
         310    -6.58653    -6.58717  0.00113526
         311    -6.58655    -6.58717  0.00113161
         312    -6.58657    -6.58716  0.00112798
         313    -6.58691    -6.58716  0.00112438
         314    -6.58661    -6.58716   0.0011208
         315    -6.58663    -6.58716  0.00111725
         316    -6.58633    -6.58716  0.00111371
         317     -6.5857    -6.58715  0.00111021
         318    -6.58475    -6.58714  0.00110674
         319    -6.58444    -6.58714  0.00110331
         320    -6.58381    -6.58713  0.00109991
         321    -6.58318    -6.58711  0.00109655
         322    -6.58353     -6.5871   0.0010932
         323    -6.58354    -6.58709  0.00108987
         324    -6.58356    -6.58708  0.00108656
         325    -6.58325    -6.58707  0.00108328
         326    -6.58326    -6.58706  0.00108002
         327    -6.58328    -6.58705  0.00107678
         328    -6.58329    -6.58703  0.00107356
         329    -6.58298    -6.58702  0.00107037
         330    -6.58332    -6.58701  0.00106718
         331    -6.58236      -6.587  0.00106405
         332    -6.58237    -6.58698  0.00106094
         333    -6.58238    -6.58697  0.00105784
         334    -6.58174    -6.58695  0.00105479
         335    -6.58142    -6.58694  0.00105177
         336    -6.58176    -6.58692  0.00104875
         337    -6.58144     -6.5869  0.00104577
         338    -6.58177    -6.58689  0.00104278
         339    -6.58177    -6.58687  0.00103982
         340    -6.58145    -6.58686  0.00103688
         341    -6.58178    -6.58684  0.00103395
         342    -6.58178    -6.58683  0.00103103
         343    -6.58211    -6.58682  0.00102812
         344    -6.58178     -6.5868  0.00102523
         345    -6.58211    -6.58679  0.00102235
         346    -6.58275    -6.58678  0.00101946
         347    -6.58243    -6.58676   0.0010166
         348    -6.58275    -6.58675  0.00101375
         349    -6.58307    -6.58674   0.0010109
         350    -6.58274    -6.58673  0.00100807
         351    -6.58273    -6.58672  0.00100526
         352    -6.58208     -6.5867  0.00100249
         353    -6.58175    -6.58669 0.000999753
         354    -6.58174    -6.58668 0.000997027
         355    -6.58238    -6.58666 0.000994292
         356    -6.58269    -6.58665 0.000991562
         357    -6.58268    -6.58664 0.000988847
         358    -6.58267    -6.58663 0.000986147
         359    -6.58266    -6.58662 0.000983462
         360      -6.582    -6.58661 0.000980814
         361    -6.58166    -6.58659 0.000978193
         362    -6.58197    -6.58658 0.000975574
         363     -6.5813    -6.58657 0.000972995
         364    -6.58096    -6.58655 0.000970444
         365    -6.58257    -6.58654 0.000967846
         366    -6.58287    -6.58653 0.000965254
         367    -6.58285    -6.58652 0.000962676
         368    -6.58315    -6.58651 0.000960103
         369    -6.58281     -6.5865 0.000957554
         370    -6.58311    -6.58649 0.000955009
         371    -6.58341    -6.58648 0.000952471
         372    -6.58274    -6.58647 0.000949964
         373    -6.58336    -6.58646 0.000947454
         374    -6.58334    -6.58646 0.000944957
         375    -6.58331    -6.58645 0.000942475
         376    -6.58329    -6.58644 0.000940006
         377    -6.58294    -6.58643 0.000937558
         378    -6.58259    -6.58642 0.000935133
         379    -6.58223    -6.58641 0.000932731
         380    -6.58188     -6.5864 0.000930352
         381    -6.58218    -6.58639 0.000927976
         382    -6.58215    -6.58637 0.000925614
         383    -6.58244    -6.58636 0.000923254
         384    -6.58273    -6.58636 0.000920898
         385     -6.5827    -6.58635 0.000918555
         386    -6.58332    -6.58634 0.000916209
         387    -6.58361    -6.58633 0.000913869
         388    -6.58325    -6.58632 0.000911548
         389    -6.58289    -6.58631 0.000909247
         390    -6.58221     -6.5863 0.000906977
         391    -6.58185    -6.58629 0.000904729
         392    -6.58149    -6.58628 0.000902503
         393    -6.58211    -6.58627 0.000900269
         394    -6.58272    -6.58626  0.00089803
         395    -6.58301    -6.58625 0.000895794
         396    -6.58329    -6.58624 0.000893563
         397    -6.58358    -6.58624 0.000891337
         398    -6.58322    -6.58623  0.00088913
         399    -6.58319    -6.58622 0.000886934
         400    -6.58315    -6.58621  0.00088475
         401    -6.58279    -6.58621 0.000882585
         402    -6.58307     -6.5862 0.000880424
         403    -6.58368    -6.58619 0.000878262
         404    -6.58364    -6.58619  0.00087611
         405    -6.58393    -6.58618 0.000873965
         406    -6.58324    -6.58617 0.000871842
         407     -6.5832    -6.58617 0.000869731
         408    -6.58316    -6.58616  0.00086763
         409    -6.58312    -6.58615  0.00086554
         410    -6.58276    -6.58614 0.000863469
         411    -6.58304    -6.58614 0.000861401
         412    -6.58236    -6.58613 0.000859359
         413    -6.58232    -6.58612 0.000857328
         414    -6.58228    -6.58611 0.000855307
         415    -6.58288     -6.5861 0.000853281
         416    -6.58284    -6.58609 0.000851266
         417    -6.58248    -6.58608 0.000849269
         418    -6.58179    -6.58607 0.000847299
         419     -6.5811    -6.58606  0.00084536
         420    -6.58009    -6.58605 0.000843467
         421    -6.57973    -6.58603 0.000841597
         422    -6.58001    -6.58602 0.000839724
         423    -6.58062      -6.586 0.000837836
         424    -6.58058    -6.58599 0.000835958
         425    -6.57924    -6.58598 0.000834141
         426    -6.57985    -6.58596 0.000832307
         427    -6.57981    -6.58595 0.000830483
         428    -6.57977    -6.58593 0.000828668
         429    -6.57973    -6.58592 0.000826862
         430    -6.57969     -6.5859 0.000825066
         431    -6.57965    -6.58589 0.000823279
         432    -6.57994    -6.58588 0.000821489
         433    -6.58022    -6.58586 0.000819695
         434    -6.57986    -6.58585 0.000817923
         435    -6.57982    -6.58584  0.00081616
         436    -6.58011    -6.58582 0.000814394
         437    -6.58007    -6.58581 0.000812637
         438    -6.57906    -6.58579 0.000810927
         439    -6.57968    -6.58578   0.0008092
         440    -6.57835    -6.58576 0.000807537
         441    -6.57831    -6.58575 0.000805883
         442    -6.57828    -6.58573 0.000804237
         443    -6.57824    -6.58571 0.000802599
         444    -6.57756    -6.58569 0.000801001
         445    -6.57785    -6.58568 0.000799395
         446    -6.57782    -6.58566 0.000797797
         447    -6.57746    -6.58564 0.000796223
         448    -6.57711    -6.58562 0.000794673
         449    -6.57643     -6.5856 0.000793167
         450    -6.57705    -6.58558 0.000791632
         451    -6.57702    -6.58556 0.000790104
         452    -6.57829    -6.58555  0.00078852
         453    -6.57761    -6.58553 0.000786974
         454    -6.57694    -6.58551 0.000785468
         455    -6.57691    -6.58549 0.000783969
         456    -6.57656    -6.58547 0.000782494
         457    -6.57622    -6.58545 0.000781044
         458    -6.57652    -6.58543 0.000779582
         459    -6.57553    -6.58541 0.000778182
         460    -6.57583    -6.58539 0.000776769
         461    -6.57613    -6.58537 0.000775343
         462    -6.57547    -6.58535 0.000773961
         463    -6.57545    -6.58533 0.000772585
         464    -6.57511     -6.5853 0.000771234
         465    -6.57542    -6.58528 0.000769868
         466    -6.57508    -6.58526 0.000768528
         467    -6.57506    -6.58524 0.000767192
         468    -6.57473    -6.58522 0.000765881
         469    -6.57537     -6.5852 0.000764536
         470      -6.576    -6.58518  0.00076316
         471      -6.576    -6.58516 0.000761788
         472    -6.57567    -6.58514  0.00076044
         473    -6.57566    -6.58512 0.000759096
         474    -6.57566     -6.5851 0.000757756
         475    -6.57598    -6.58508 0.000756404
         476    -6.57565    -6.58506 0.000755074
         477    -6.57565    -6.58504 0.000753748
         478    -6.57566    -6.58502 0.000752427
         479    -6.57598      -6.585 0.000751093
         480    -6.57598    -6.58498 0.000749763
         481    -6.57599    -6.58496 0.000748437
         482    -6.57632    -6.58494 0.000747099
         483      -6.576    -6.58493 0.000745782
         484    -6.57569    -6.58491 0.000744485
         485     -6.5757    -6.58489 0.000743192
         486    -6.57539    -6.58487  0.00074192
         487    -6.57637    -6.58485 0.000740601
         488    -6.57639    -6.58483 0.000739287
         489     -6.5764    -6.58482 0.000737976
         490    -6.57642     -6.5848 0.000736669
         491    -6.57676    -6.58478  0.00073535
         492    -6.57711    -6.58477 0.000734021
         493    -6.57713    -6.58475 0.000732696
         494    -6.57748    -6.58474 0.000731361
         495     -6.5775    -6.58472 0.000730029
         496    -6.57785    -6.58471 0.000728689
         497    -6.57788    -6.58469 0.000727352
         498    -6.57726    -6.58468 0.000726045
         499    -6.57761    -6.58467 0.000724728
         500    -6.57764    -6.58465 0.000723415
         501    -6.57832    -6.58464 0.000722081
         502    -6.57738    -6.58462 0.000720787
         503     -6.5771    -6.58461  0.00071951
         504    -6.57584    -6.58459 0.000718293
         505    -6.57587    -6.58457 0.000717078
         506    -6.57591    -6.58456 0.000715865
         507    -6.57595    -6.58454 0.000714654
         508    -6.57599    -6.58452 0.000713446
         509    -6.57571    -6.58451 0.000712254
         510    -6.57575    -6.58449 0.000711065
         511    -6.57579    -6.58447 0.000709877
         512    -6.57551    -6.58445 0.000708706
         513    -6.57523    -6.58444 0.000707553
         514     -6.5756    -6.58442 0.000706386
         515    -6.57564     -6.5844  0.00070522
         516    -6.57601    -6.58439  0.00070404
         517    -6.57638    -6.58437 0.000702849
         518     -6.5761    -6.58435 0.000701673
         519    -6.57583    -6.58434 0.000700514
         520    -6.57587    -6.58432 0.000699355
         521    -6.57592    -6.58431 0.000698199
         522    -6.57597    -6.58429 0.000697044
         523    -6.57569    -6.58427 0.000695905
         524    -6.57542    -6.58426 0.000694782
         525    -6.57547    -6.58424 0.000693661
         526    -6.57584    -6.58422 0.000692526
         527    -6.57621    -6.58421 0.000691379
         528    -6.57626    -6.58419 0.000690233
         529    -6.57631    -6.58418 0.000689089
         530    -6.57571    -6.58416 0.000687975
         531    -6.57575    -6.58415 0.000686861
         532    -6.57548    -6.58413 0.000685763
         533    -6.57617    -6.58412 0.000684639
         534    -6.57654     -6.5841 0.000683504
         535    -6.57659    -6.58409 0.000682371
         536    -6.57696    -6.58407 0.000681227
         537      -6.577    -6.58406 0.000680086
         538    -6.57705    -6.58405 0.000678947
         539    -6.57774    -6.58404 0.000677788
         540    -6.57811    -6.58403 0.000676622
         541    -6.57815    -6.58401 0.000675458
         542    -6.57851      -6.584 0.000674288
         543    -6.57952      -6.584 0.000673097
         544    -6.57989    -6.58399 0.000671902
         545    -6.57928    -6.58398 0.000670725
         546    -6.57964    -6.58397 0.000669543
         547    -6.57968    -6.58396 0.000668365
         548    -6.57971    -6.58396 0.000667191
         549    -6.58007    -6.58395 0.000666013
         550    -6.57978    -6.58394 0.000664845
         551    -6.57949    -6.58393 0.000663688
         552    -6.57952    -6.58393 0.000662534
         553    -6.57922    -6.58392  0.00066139
         554    -6.57925    -6.58391  0.00066025
         555    -6.57928     -6.5839 0.000659113
         556    -6.57931    -6.58389 0.000657979
         557    -6.57998    -6.58388 0.000656836
         558    -6.58033    -6.58388 0.000655689
         559    -6.58002    -6.58387 0.000654553
         560    -6.57972    -6.58386 0.000653426
         561    -6.57909    -6.58386 0.000652316
         562    -6.57879    -6.58385 0.000651218
         563     -6.5788    -6.58384 0.000650123
         564    -6.57849    -6.58383 0.000649039
         565    -6.57851    -6.58382 0.000647959
         566    -6.57884    -6.58381 0.000646874
         567    -6.57918     -6.5838 0.000645784
         568    -6.57951    -6.58379 0.000644692
         569    -6.58017    -6.58379  0.00064359
         570    -6.58115    -6.58378 0.000642477
         571    -6.58148    -6.58378 0.000641365
         572    -6.58149    -6.58378 0.000640256
         573    -6.58149    -6.58377 0.000639151
         574    -6.58182    -6.58377 0.000638047
         575    -6.58182    -6.58376 0.000636946
         576    -6.58215    -6.58376 0.000635846
         577    -6.58215    -6.58376 0.000634751
         578    -6.58215    -6.58376 0.000633658
         579     -6.5815    -6.58375 0.000632576
         580    -6.58182    -6.58375 0.000631494
         581    -6.58149    -6.58375 0.000630419
         582    -6.58181    -6.58374 0.000629345
         583    -6.58181    -6.58374 0.000628274
         584    -6.58213    -6.58374 0.000627204
         585    -6.58115    -6.58373 0.000626148
         586    -6.58082    -6.58373 0.000625099
         587    -6.58082    -6.58372 0.000624053
         588    -6.58178    -6.58372 0.000623001
         589    -6.58113    -6.58371 0.000621959
         590    -6.58177    -6.58371 0.000620913
         591    -6.58176    -6.58371 0.000619871
         592    -6.58207     -6.5837  0.00061883
         593    -6.58271     -6.5837 0.000617789
         594    -6.58206     -6.5837 0.000616755
         595     -6.5814     -6.5837 0.000615731
         596    -6.58139    -6.58369  0.00061471
         597    -6.58106    -6.58369 0.000613696
         598    -6.58073    -6.58368  0.00061269
         599    -6.58104    -6.58368 0.000611683
         600    -6.58103    -6.58367 0.000610679
         601      -6.582    -6.58367 0.000609669
         602    -6.58199    -6.58367 0.000608663
         603    -6.58263    -6.58367 0.000607656
         604    -6.58229    -6.58366 0.000606654
         605    -6.58196    -6.58366 0.000605658
         606    -6.58131    -6.58366 0.000604671
         607    -6.58098    -6.58365 0.000603691
         608    -6.58129    -6.58365 0.000602711
         609    -6.58226    -6.58365 0.000601725
         610    -6.58257    -6.58365 0.000600742
         611    -6.58289    -6.58364  0.00059976
         612    -6.58288    -6.58364 0.000598781
         613    -6.58223    -6.58364 0.000597809
         614    -6.58223    -6.58364 0.000596839
         615    -6.58222    -6.58364 0.000595873
         616    -6.58254    -6.58363 0.000594909
         617    -6.58286    -6.58363 0.000593946
         618    -6.58286    -6.58363 0.000592986
         619    -6.58285    -6.58363 0.000592029
         620    -6.58317    -6.58363 0.000591075
         621    -6.58317    -6.58363 0.000590124
         622    -6.58317    -6.58363 0.000589175
         623    -6.58317    -6.58363  0.00058823
         624    -6.58284    -6.58363 0.000587289
         625    -6.58284    -6.58362  0.00058635
         626    -6.58316    -6.58362 0.000585414
         627    -6.58316    -6.58362 0.000584481
         628    -6.58317    -6.58362 0.000583551
         629    -6.58284    -6.58362 0.000582624
         630    -6.58317    -6.58362   0.0005817
         631     -6.5835    -6.58362 0.000580778
         632    -6.58382    -6.58362 0.000579859
         633    -6.58382    -6.58362 0.000578943
         634     -6.5835    -6.58362  0.00057803
         635    -6.58351    -6.58362  0.00057712
         636    -6.58319    -6.58362 0.000576213
         637    -6.58254    -6.58362 0.000575311
         638    -6.58255    -6.58362 0.000574412
         639    -6.58288    -6.58362 0.000573514
         640    -6.58256    -6.58361  0.00057262
         641    -6.58256    -6.58361 0.000571729
         642    -6.58289    -6.58361  0.00057084
         643     -6.5829    -6.58361 0.000569953
         644     -6.5829    -6.58361 0.000569069
         645    -6.58323    -6.58361 0.000568187
         646    -6.58356    -6.58361 0.000567307
         647    -6.58357    -6.58361 0.000566431
         648     -6.5839    -6.58361 0.000565557
         649     -6.5839    -6.58361 0.000564685
         650    -6.58359    -6.58361 0.000563817
         651    -6.58391    -6.58361 0.000562951
         652    -6.58457    -6.58361 0.000562089
         653    -6.58458    -6.58361  0.00056123
         654    -6.58458    -6.58361 0.000560374
         655    -6.58459    -6.58362 0.000559521
         656    -6.58459    -6.58362  0.00055867
         657    -6.58492    -6.58362 0.000557823
         658    -6.58428    -6.58362 0.000556976
         659    -6.58428    -6.58362 0.000556132
         660    -6.58396    -6.58362 0.000555289
         661    -6.58494    -6.58362 0.000554453
         662    -6.58591    -6.58363 0.000553626
         663    -6.58592    -6.58363 0.000552802
         664    -6.58592    -6.58363  0.00055198
